id,question,slug,start_date,end_date,volume,liquidity,active,closed,yes_percentage,no_percentage,outcome_details,total_volume,total_liquidity,end_date_iso,volume_24hr,spread,one_day_price_change,last_trade_price,bestBid,bestAsk
239461,"Will $ETH (Ethereum) be above $4,500 on November 24th, 12pm ET?",will-eth-ethereum-be-above-4500-on-november-24th-12pm-et,,,,,True,True,0.00010209847195336803,99.99989790152804,Yes: 0.00% | No: 100.00%,13680.34,0.38,2021-11-24,0,1,0,0,0,1
239491,Will $ENS (Ethereum Name Service) be above $50 on November 25?,will-ens-ethereum-name-service-be-above-50-on-november-25,,,,,True,True,99.99998334502138,1.6654978614990798e-05,Yes: 100.00% | No: 0.00%,37859.27,780.6,2021-11-25,0,1,0,0,0,1
239567,Which cryptocurrency will perform better in November 2021: Bitcoin or Ethereum?,which-cryptocurrency-will-perform-better-in-november-2021-bitcoin-or-ethereum,,,,,True,True,,,Bitcoin: 0.00% | Ethereum: 100.00%,1574.36,300,2021-12-01,0,1,0,0,0,1
239599,Will the floor price of Chain Runners be above 1.25 ETH on December 2?,will-the-floor-price-of-chain-runners-be-above-1pt25-eth-on-december-2,,,,,True,True,1.740431134336701e-06,99.99999825956887,Yes: 0.00% | No: 100.00%,21861.87,33.07,2021-12-02,0,1,0,0,0,1
239603,What will the ETH floor price of Chain Runners be on December 2?  ,what-will-the-eth-floor-price-of-chain-runners-be-on-december-2,,,,,True,True,,,Long: 0.00% | Short: 100.00%,24242.55,6550.76,2021-12-02,0,1,0,0,0,1
239677,Will the Ethereum ($ETH) Market Cap be above $520 billion on December 9?,will-the-ethereum-eth-market-cap-be-above-520-billion-on-december-9,,,,,True,True,7.933325337331283e-05,99.99992066674662,Yes: 0.00% | No: 100.00%,77688.63,49.86,2021-12-09,0,1,0,0,0,1
239678,"Will the floor price of CryptoPunks be above 85 ETH on December 16, 2021?",will-the-floor-price-of-cryptopunks-be-above-85-eth-on-december-16-2021,,,,,True,True,2.1293991398836124e-05,99.99997870600859,Yes: 0.00% | No: 100.00%,28633.06,243.41,2021-12-16,0,1,0,0,0,1
239742,Will Ethereum reach $5000 by the end of 2021?,will-ethereum-reach-5000-this-year,,,,,True,True,1.5312143221178256e-05,99.99998468785678,Yes: 0.00% | No: 100.00%,234003.38,195.7,2021-12-31,0,1,0,0,0,1
239743,Which cryptocurrency will perform better in December 2021: Bitcoin or Ethereum?,which-cryptocurrency-will-perform-better-in-december-2021-bitcoin-or-ethereum,,,,,True,True,,,Bitcoin: 100.00% | Ethereum: 0.00%,110955.43,166.59,2022-01-01,0,1,0,0,0,1
239796,Will Sequoia Capital's Youtube memo sell for more than 100 ETH?,will-sequoia-capitals-youtube-memo-sell-for-more-than-100-eth,,,,,True,True,99.99998783567996,1.2164320039117988e-05,Yes: 100.00% | No: 0.00%,7397.26,277.62,2021-12-07,0,1,0,0,0,1
